Geneid	Chr	Start	End	Length
XP_003658314.1	NC_016472	1381	2142	762
XP_003658315.1	NC_016472	2777	2935	159
XP_003658316.1	NC_016472	3493	3732	240
XP_003658317.1	NC_016472	5330	6385	1056
XP_003658318.1	NC_016472;NC_016472	15458;25325	15467;25533	219
XP_003658319.1	NC_016472;NC_016472;NC_016472;NC_016472	42080;42519;43283;43828	42441;43214;43734;44195	1878
XP_003658320.1	NC_016472	45970	47508	1539
XP_003658321.1	NC_016472	48156	49091	936
XP_003658322.1	NC_016472	50749	51702	954
XP_003658323.1	NC_016472;NC_016472	52694;52940	52886;53820	1074
XP_003658324.1	NC_016472;NC_016472;NC_016472;NC_016472	54699;54996;55741;55794	54761;55685;55756;55825	801
XP_003658325.1	NC_016472;NC_016472	56037;56856	56790;56893	792
XP_003658326.1	NC_016472;NC_016472;NC_016472	57565;57766;57983	57716;57895;58723	1023
XP_003658327.1	NC_016472;NC_016472	60083;60679	60589;62739	2568
XP_003658328.1	NC_016472;NC_016472	63125;64328	64255;64339	1143
MYCTH_t53	NC_016472	66366	66475	110
XP_003658329.1	NC_016472;NC_016472;NC_016472	66856;67039;68380	66939;68236;68624	1527
XP_003658330.1	NC_016472;NC_016472	68869;70156	69822;70596	1395
XP_003658331.1	NC_016472;NC_016472;NC_016472	71234;71371;73356	71278;73257;73475	2052
XP_003658332.1	NC_016472;NC_016472;NC_016472;NC_016472	74253;74670;74914;75014	74600;74861;74960;75086	660
XP_003658333.1	NC_016472;NC_016472;NC_016472	75929;76222;78104	76136;77972;78274	2130
XP_003658334.1	NC_016472	78910	82659	3750
XP_003658335.1	NC_016472	83714	85258	1545
XP_003658336.1	NC_016472;NC_016472;NC_016472	86143;86545;88830	86472;88716;89690	3363
MYCTH_t52	NC_016472	90316	90430	115
XP_003658337.1	NC_016472	91282	92088	807
XP_003658338.1	NC_016472;NC_016472	92403;94280	94151;94603	2073
XP_003658339.1	NC_016472	95061	97145	2085
XP_003658340.1	NC_016472;NC_016472;NC_016472	97515;97745;98095	97668;98012;98950	1278
XP_003658341.1	NC_016472;NC_016472	99371;99697	99608;100469	1011
XP_003658342.1	NC_016472;NC_016472	110177;110423	110324;111612	1338
XP_003658343.1	NC_016472;NC_016472;NC_016472	112253;112399;112762	112302;112601;115436	2928
XP_003658344.1	NC_016472;NC_016472;NC_016472	115898;116381;117602	116323;117421;118225	2091
XP_003658345.1	NC_016472;NC_016472;NC_016472	118612;119244;119605	119146;119531;120149	1368
XP_003658346.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	121112;122521;122661;122790;123062	122464;122598;122732;122916;123657	2226
XP_003658347.1	NC_016472;NC_016472;NC_016472;NC_016472	126164;127769;128064;129601	127538;127978;129483;131926	5331
XP_003658348.1	NC_016472;NC_016472	134711;136534	136434;137488	2679
XP_003658349.1	NC_016472;NC_016472	138423;139695	139628;139940	1452
XP_003658350.1	NC_016472;NC_016472	140946;142614	142552;142674	1668
XP_003658351.1	NC_016472;NC_016472	144086;144322	144242;144959	795
XP_003658352.1	NC_016472	145975	146166	192
XP_003658353.1	NC_016472	146433	148319	1887
XP_003658354.1	NC_016472;NC_016472	148926;149431	149246;149676	567
XP_003658355.1	NC_016472;NC_016472;NC_016472;NC_016472	150455;151038;151315;151442	150870;151220;151338;151505	687
XP_003658356.1	NC_016472;NC_016472	152573;153834	153766;153917	1278
XP_003658357.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	155950;156165;156351;156528;157893	156042;156245;156445;157799;158205	1854
XP_003658358.1	NC_016472;NC_016472;NC_016472	158890;159694;161074	159459;160822;161189	1815
XP_003658359.1	NC_016472	163078	164583	1506
XP_003658360.1	NC_016472;NC_016472;NC_016472;NC_016472	175379;175541;176565;176922	175464;176422;176859;177164	1506
XP_003658361.1	NC_016472;NC_016472;NC_016472	181649;182085;182264	181892;182149;182377	423
XP_003658362.1	NC_016472	187820	189343	1524
XP_003658363.1	NC_016472	190347	191375	1029
XP_003658364.1	NC_016472;NC_016472	192437;192655	192580;194046	1536
XP_003658365.1	NC_016472;NC_016472;NC_016472	198124;198905;199572	198837;199498;201584	3321
XP_003658366.1	NC_016472;NC_016472;NC_016472	207828;209693;209834	209606;209741;209841	1836
XP_003658367.1	NC_016472;NC_016472;NC_016472	213066;213267;213802	213199;213738;214296	1101
XP_003658368.1	NC_016472;NC_016472;NC_016472	216287;217474;217675	217399;217607;217813	1386
XP_003658369.1	NC_016472;NC_016472	218847;219138	219061;221646	2724
XP_003658370.1	NC_016472;NC_016472	222288;222641	222465;222738	276
XP_003658371.1	NC_016472	223510	225285	1776
XP_003658372.1	NC_016472;NC_016472;NC_016472	226659;228481;228744	228421;228673;228911	2124
XP_003658373.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	237424;237791;238047;238805;239213	237722;237986;238747;239159;239443	1782
XP_003658374.1	NC_016472;NC_016472	240839;241056	240937;244877	3921
XP_003658375.1	NC_016472	245236	245523	288
XP_003658376.1	NC_016472;NC_016472;NC_016472	249124;249467;249875	249374;249763;250136	810
XP_003658377.1	NC_016472;NC_016472;NC_016472	251569;251946;252635	251890;252576;252794	1113
XP_003658378.1	NC_016472;NC_016472;NC_016472	254343;254423;254602	254354;254513;255986	1488
